Asset,Description,Status,Asset Type,Asset Group,Year,Manufacturer,Model,VIN
30860-07,30860-07|TRUCK POOL FORD F550 TRUCK,ACTIVE,FLEET,TRUCK POOL,2007,FORD,F550,1FDAF56P37EB45000
30876-08,30876-08|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2008,FORD,ECONOLINE,1FTNE14W78DA94975
30878-08,30878-08|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2008,FORD,ECONOLINE,1FTNE14W48DA94979
32936-99,"32936-99|TRUCK POOL ISUZU LOAD PACKER NUMBER CHANGED FROM 32848 12/2/09 MH",ACTIVE,FLEET,TRUCK POOL,1999,ISUZU,W4 LOAD PACKER,JALC4B14XX7015474
34242-09,34242-09|TRUCK POOL TENNANT SWEEPER,ACTIVE,FLEET,TRUCK POOL,2009,TENNANT,S30,9Z9KB0136
32910-07,"32910-07|TRUCK POOL GMC SAVANA VAN/CARGO NUMBER CHANGED FROM 30864 7/11/18 - MH",ACTIVE,FLEET,TRUCK POOL,2007,GMC,SAVANA,1GTFG15Z971254393
32876-18,32876-18|TRUCK POOL FORD PICKUP/SERVICE BODY,ACTIVE,FLEET,TRUCK POOL,2018,FORD,F350,1FDRF3G61JEB41466
32877-18,32877-18|TRUCK POOL FORD PICKUP/SERVICE BODY,ACTIVE,FLEET,TRUCK POOL,2018,FORD,F350,1FD8X3G68JEB41473
32820-18,32820-18|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2018,CHEVROLET,15S60,3N63M0YN2JK691086
33813-17,33813-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YM4HKB57967
32862-18,32862-18|TRUCK POOL RAM PROMASTER  VAN,ACTIVE,FLEET,TRUCK POOL,2018,RAM,PROMASTER,3C6TRVNG0JE110388
32931-03,"32931-03|TRUCK POOL FORD PICKUP/SERVICE BODY NUMBER CHANGED FROM 33899",ACTIVE,FLEET,TRUCK POOL,2003,FORD,F350,1FDWF32L83ED35186
35231-16,35231-16|TRUCK POOL FORD PICKUP,ACTIVE,FLEET,TRUCK POOL,2016,FORD,F350,1FT8W3B63GEA92965
32895-16,32895-16|TRUCK POOL FORD PICKUP,ACTIVE,FLEET,TRUCK POOL,2016,FORD,F150,1FTEW1C8XGKD97629
30870-15,30870-15|TRUCK POOL CHEVROLET VAN/CUTAWAY BOX TRUCK,ACTIVE,FLEET,TRUCK POOL,2015,CHEVROLET,EXPRESS,1GB3G2CG2F1176052
33817-15,33817-15|TRUCK POOL FORD PICKUP,ACTIVE,FLEET,TRUCK POOL,2015,FORD,F150,1FTEW1C80FKE31401
31240-15,31240-15|TRUCK POOL FORD PICKUP/4WD,ACTIVE,FLEET,TRUCK POOL,2015,FORD,F350,1FT8W3BT7FED69492
31200-15,31200-15|TRUCK POOL FORD PICKUP/SERVIC TRUCK,ACTIVE,FLEET,TRUCK POOL,2015,FORD,F250,1FT7X2B63FEB61719
33841-15,33841-15|TRUCK POOL INTERNATIONAL TRUCK/ 16' BOX,ACTIVE,FLEET,TRUCK POOL,2015,INTERNATIONAL,4300 SBA 4X2,1HTMMMML0FH730859
32908-07,"32908-07|TRUCK POOL DODGE VAN/MID SIZE NUMBER CHANGED FROM 34822 10/16/14 - MH",ACTIVE,FLEET,TRUCK POOL,2007,DODGE,GRAND CARAVAN,1D4GP24E27B151774
33829-07,"33829-07|TRUCK POOL DODGE GRAND CARAVAN NUMBER CHANGED FROM 34820 - MH",ACTIVE,FLEET,TRUCK POOL,2007,DODGE,GRAND CARAVAN,1D4GP24E07B151773
33812-15,33812-15|TRUCK POOL FORD VAN,ACTIVE,FLEET,TRUCK POOL,2015,FORD,TRANSIT,1FTNE1YM6FKA62908
32853-13,32853-13|TRUCK POOL FORD CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,FORD,E250,1FTNE2EW3DDA68923
33868-13,33868-13|TRUCK POOL DODGE CARGO MINIVAN,ACTIVE,FLEET,TRUCK POOL,2013,DODGE,RAM,2C4JRGAG6DR754238
33888-13,33888-13|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2013,FORD,F150,1FTFX1EF9DKE83832
33818-13,33818-13|TRUCK POOL FORD CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,FORD,E250,1FTNE2EW9DDA68926
32845-13,32845-13|TRUCK POOL DODGE CARGO MINIVAN,ACTIVE,FLEET,TRUCK POOL,2013,DODGE,RAM,2C4JRGAG8DR754242
30823-12,30823-12|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2012,FORD,TRANSIT,NM0LS7AN0CT078580
33847-14,33847-14|TRUCK POOL FORD F450SD TRUCK/CHIPPER,ACTIVE,FLEET,TRUCK POOL,2014,FORD,F450SD,1FDTF4GT9EEB47376
30899-14,30899-14|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2014,CHEVROLET,EXPRESS,1GCZGTCG5E1205425
